      table_name      |       column_name        |          data_type          | is_nullable |           column_default            
 in_app_notifications | created_at               | timestamp with time zone    | NO          | 
 in_app_notifications | updated_at               | timestamp with time zone    | NO          | 
 in_app_notifications | user_id                  | text                        | NO          | 
 in_app_notifications | organization_id          | uuid                        | YES         | 
 in_app_notifications | title                    | text                        | NO          | ''::text
 in_app_notifications | message                  | text                        | NO          | ''::text
 in_app_notifications | type                     | text                        | NO          | 'info'::text
 in_app_notifications | action_label             | text                        | YES         | 
 in_app_notifications | action_url               | text                        | YES         | 
 in_app_notifications | data                     | jsonb                       | YES         | 
 in_app_notifications | read                     | boolean                     | NO          | false
 in_app_notifications | read_at                  | timestamp without time zone | YES         | 
 in_app_notifications | expires_at               | timestamp without time zone | YES         | 
 organization_members | id                       | uuid                        | NO          | gen_random_uuid()
 organization_members | user_id                  | text                        | NO          | 
 organization_members | organization_id          | text                        | NO          | 
 organization_members | tenant_id                | uuid                        | YES         | 
 organization_members | name                     | text                        | NO          | 
 organization_members | email                    | text                        | NO          | 
 organization_members | phone                    | text                        | YES         | 
 organization_members | role                     | text                        | NO          | 
 organization_members | status                   | text                        | NO          | 'active'::text
 organization_members | is_primary               | boolean                     | YES         | false
 organization_members | department               | text                        | YES         | 
 organization_members | position                 | text                        | YES         | 
 organization_members | hire_date                | timestamp with time zone    | YES         | 
 organization_members | membership_number        | text                        | YES         | 
 organization_members | seniority                | integer                     | YES         | 
 organization_members | union_join_date          | timestamp with time zone    | YES         | 
 organization_members | preferred_contact_method | text                        | YES         | 
 organization_members | metadata                 | text                        | YES         | 
 organization_members | created_at               | timestamp with time zone    | NO          | now()
 organization_members | joined_at                | timestamp with time zone    | YES         | now()
 organization_members | updated_at               | timestamp with time zone    | YES         | now()
 organization_members | deleted_at               | timestamp with time zone    | YES         | 
 organization_members | member_category          | text                        | YES         | ''::text
 organization_members | exempt_from_per_capita   | boolean                     | YES         | false
 organization_members | exemption_reason         | text                        | YES         | ''::text
 organization_members | exemption_approved_by    | character varying           | YES         | ''::character varying
 organization_members | exemption_approved_at    | timestamp with time zone    | YES         | now()
 organization_members | search_vector            | text                        | YES         | ''::text
 organization_members | location                 | text                        | YES         | 
 organizations        | id                       | uuid                        | NO          | gen_random_uuid()
 organizations        | name                     | text                        | NO          | 
 organizations        | slug                     | text                        | NO          | 
 organizations        | display_name             | text                        | YES         | 
 organizations        | short_name               | text                        | YES         | 
 organizations        | description              | text                        | YES         | 
 organizations        | organization_type        | USER-DEFINED                | NO          | 
 organizations        | parent_id                | uuid                        | YES         | 
 organizations        | hierarchy_path           | ARRAY                       | NO          | '{}'::text[]
 organizations        | hierarchy_level          | integer                     | NO          | 0
 organizations        | province_territory       | text                        | YES         | 
 organizations        | sectors                  | ARRAY                       | YES         | '{}'::labour_sector[]
 organizations        | email                    | text                        | YES         | 
 organizations        | phone                    | text                        | YES         | 
 organizations        | website                  | text                        | YES         | 
 organizations        | address                  | jsonb                       | YES         | 
 organizations        | clc_affiliated           | boolean                     | YES         | false
 organizations        | affiliation_date         | date                        | YES         | 
 organizations        | charter_number           | text                        | YES         | 
 organizations        | member_count             | integer                     | YES         | 0
 organizations        | active_member_count      | integer                     | YES         | 0
 organizations        | last_member_count_update | timestamp with time zone    | YES         | 
 organizations        | subscription_tier        | text                        | YES         | 
 organizations        | billing_contact_id       | uuid                        | YES         | 
 organizations        | settings                 | jsonb                       | YES         | '{}'::jsonb
 organizations        | features_enabled         | ARRAY                       | YES         | '{}'::text[]
 organizations        | status                   | text                        | YES         | 'active'::text
 organizations        | created_at               | timestamp with time zone    | YES         | now()
 organizations        | updated_at               | timestamp with time zone    | YES         | now()
 organizations        | created_by               | uuid                        | YES         | 
 organizations        | legacy_tenant_id         | uuid                        | YES         | 
 organizations        | clc_affiliate_code       | character varying           | YES         | 
 organizations        | per_capita_rate          | numeric                     | YES         | 
 organizations        | remittance_day           | integer                     | YES         | 15
 organizations        | last_remittance_date     | timestamp with time zone    | YES         | 
 organizations        | fiscal_year_end          | date                        | YES         | '2024-12-31'::date
 organizations        | clerk_organization_id    | text                        | YES         | 
(222 rows)

